naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek 
STYLISH ECO FRIENDLY WOOD HATS,Salisha Peters,CA,Accessories,2,1500,71,0,"GenuineLeather, Eco-Friendly Cork And Real Bamboo  A Stylish Hat Project  Licensed And Approved By Pac The Rooster!"
Barn Magazine: A Creative Hockey Magazine,Peter Axtman,US,Periodicals,148,50000,15173,0,"A new quarterly hockey magazine that celebrates the culture and character of our game with distinctive writing, design and photography."
"Air Gill : The Self Packing, Leaf Gathering Bag",Darrell L. Cheney,US,Hardware,27,5000,1726,0,"The patented, time-saving, leaf packing, disposable bag : AirGill"
Haiti From My Camera Lens,Ahdeeva & Ahkera Rhaheed-Muhammad,US,Photo,1,250,20,0,Informing Information about Haiti.
Help Bring The Painter's Apprentice to Life,Luminosity Mobile,US,Video Games,51,2000,2019,1,"Platform your way through eight different art styles. Along the way defeat sentient paint blobs, fight bosses and find your way home."
Tripp's Tipples - Rock and Rye and other spirit infusions,Shawn Tripp,SG,Drinks,111,5000,8394,1,Creating a line of infusions that will take your spirits to the next level.  We invite you to try our first...the Rock and Rye.
Markey Davidson,luke f. gale,AU,Fantasy,0,20000000,0,0,Markey Davidson is a tragic redemptive story about the indomitable will of an autistic boy to survive and the man that he becomes.
Race Wars: Trump vs Clinton- Which Side Are YOU On?!,"Arctic Empire, Inc",US,Live Games,1,5000,50,0,An online battle for supremacy of our nation in this political game of destruction! Available NOW on iOS and Android devices.
The Message- a short crime thriller,Matthew Rivera,US,Film & Video,1,2000,15,0,"A thriller that follows 3 individuals involved in a murder,  The Sender, the messenger and the recipient."
"The Bend - Starring Kevin Nash,Tom Sizemore & Henriett Novak",Ricky Borba,US,Thrillers,36,150000,21225,0,"The Bend's crew invites movie lovers and fans of Kevin Nash, Tom Sizemore, and Henriette Novak to become part of the team!"
WHITE WIZZARD INFERNAL OVERDRIVE ALBUM FUNDING,White Wizzard,US,Music,100,5500,5528,1,White Wizzard are trying to record their next album with Wyatt Screaming Demon Anderson. Infernal Overdrive is 9 amazing tracks.
\\,Diana Brandenberg (Dee-Dee Brandenberg),US,Children's Books,5,2000,210,0,"Children's Book depicting the rescue of a stray animal and through love and compassion, the lives of everyone involved is changed."
Problems with your charging connection - GRIP 'N' CHARGE,Quinten McCauley,IE,Gadgets,22,16000,389,0,Especially designed to keep your Apple & Android world charged with maximum effect and prevent smartphone and tablet wear and tear
Help A Dream Come True :),Marlon,US,Food Trucks,1,30000,50,0,\\
Global Presentation Streams,Batson Engineering,US,Software,7,120000,560,0,"Empower schools, colleges, churches, and businesses with the world's first affordable, autonomous live video streaming system"
Live Beacon: The World's Simplest iBeacon,Live Beacon,GB,Gadgets,197,10000,14597,1,"Transmit web content and notifications to nearby smartphones. Create info points, guided tours, treasure hunts and more!"
Justin TheLepard Debut Album,Justin TheLepard,US,Music,9,800,150,0,It's finally time for me to record a studio album. I'm raising funds for studio time and mastering.
Master Bastard's Excursions into Ecstatic Spells of Gloom,Kevin Marshall Chopson,US,Music,58,12420,4470,0,"Master Bastard, teacher/poet/guide and recording artist, is venturing into dark territory and releasing the findings on vinyl."
Pictures of Veracruz,David Baez,US,Photobooks,3,1200,185,0,"A photographic essay on the historic, incomparably colorful, sultry, licentious, desiccating, and joyous port city of Veracruz, Mexico."
Stay STRESS-FREE with Scented Colour Pencil Colouring,Anu Jeane Sugamal,SG,Art Books,2,100000,4,0,Coloring book for adults can generate the exact same benefits which meditation imparts on the brain.
A CUBAN COLLECTIVE CRAFTING AN ARTISTIC REVOLUTION,Luis Bran- Sendero Music,US,Music,10,5000,550,0,"Sendero Music is the first community based Record Label and collective of elite musicians and artists in Matanzas, Cuba. Help film us!"
Drawing Your Future: Achieving Your Goals With Art,Michael Dang,US,Performance Art,2,50000,2,0,Draw your way to success!  Use this personal development book to achieve any goal you can think of.
Prism: Day & Dusk Playing Cards,Elephant Playing Cards,AU,Playing Cards,271,22000,25767,1,A fully custom limited edition deck of playing cards featuring gloss ink you can feel on colorful designs you will love.
SYLVAN Magazine: Stories of Women,Leah Gray Steltenpohl,US,Zines,29,15000,2237,0,A publication of inspiring women from across the world with the sole intention of directing us back to the roots of who we are.
Grandpa's Smoking Shells,Aaron Hensley,US,Food,0,30000,0,0,"I started smoking my Bar-b-que with nut shells 10 years ago and nobody sells a clean, pure, pulverized shell product yet.  Until now."
Youtubers Life (In real life) Series,Marcus Mckinney,US,Experimental,0,5000,0,0,\\
A Christmas Carol for Newtown,NewArts Newtown,US,Theater,103,15000,15380,1,"We're creating a new December tradition for Newtown/Sandy Hook/Bethel, CT with Charles Dickens' tale of love and transformation."
PiShield: Sensor Interface board for Raspberry Pi,Infusion Systems,CA,DIY Electronics,188,1000,7228,1,Easily add up to 8x 5V analog sensors and 4x I2C devices to the Raspberry Pi. Form fitted for the Pi Zero but works with all models
I want to color my pictures digitally,John George,US,Digital Art,2,330,15,0,I want people to see digital and colored versions of my pics.XP-Pen Artists10S Drawing Tablet.
First and ONLY Local Spanish TV Channel in SC,Dr. Marc Garcia,US,Television,2,18500,66,0,Reaching out to our Spanish-speaking and bilingual audiences; we are restoring television for the family one program at a time.
Saints of The Classroom,Dean Whitlow & Elizabeth Shaver,US,Television,24,250000,3085,0,"An inspiring new video series, celebrating teachers and the amazing things some do to keep their lifelong passion of teaching alive."
"Kensa | The Hexagonal Brass Pen, Adaptable to You.",Cowell Studio,GB,Product Design,216,2500,11807,1,A timeless aesthetic with longevity at it's core. Kensa is the pen to take on every journey. Fits 80+ refills. Designed+made in the UK.
Bam Kids Clothing: This is what kids really want to wear. (Canceled),Jeehee Han,US,Childrenswear,30,60000,3607,0,Boutique quality clothes without boutique price tags. A fresh line of Venice Beach casuals made in Los Angeles.
Letters to My Lover: Journal of an Adulterous Woman,Desaray Shores,US,Nonfiction,5,1500,112,0,This book is for any woman who has ever sought validation and worth in men and came up feeling less than what she was created for.
Matt Leacock's Chariot Race: A Perilous Contest In Antiquity,Gryphon and Eagle Games,US,Tabletop Games,554,10000,16710,1,"Fast paced, easy to learn, with great replay-ability. A light-strategy game that seats 2-6 charioteers. Welcome to the Circus Maximus!"
Nightlancer,Joseph Norris,GB,Tabletop Games,81,20000,4800,0,A competitive cyberpunk game. Take underworld contracts to survive dystopian 2099. Sell out to get an edge but risk losing yourself.
EggMap: an urban travel gadget for your stress-free journeys,EggMap,IE,Product Design,152,30000,4261,0,"EggMap is a pocket-size guide for urban explorers to navigate cities across the globe and squeeze away the stress. Zoom in, travel on."
susaneLand - An Original Series,Susane Lee,US,Comedy,247,30000,23371,0,"A surreal, comedic web series with a female lead and diverse cast in the vein of Louie, Curb Your Enthusiasm, and Atlanta."
Dragonfly Home Monitoring Shield for Arduino,Matthew Gerdon,US,DIY Electronics,3,12000,121,0,"An Arduino-compatible shield to let you monitor ambient conditions in your home, office, or workshop."
Project Stellar Civilizations,Kong Her,US,Video Games,10,10000,278,0,You are humanitys last hope. Discover new worlds & alien civilizations in a persistent procedural generated universe online game-play.
ArtConnects Etosha,Annika Funke,DE,Painting,14,2500,2551,1,"Wildlife Art to empower disadvantaged children in Namibia to meet and learn about wildlife, art & conservation by visiting Etosha NP."
Gym Buddy,Kevin,US,Apps,13,30000,488,0,"A mobile app combining social media & exercise. Create a profile, enter your fitness levels/goals & find workout partners in your area"
The Mackenzie Pine Chronicles - Short Film,Mackenzie Pine Chronicles,US,Thrillers,46,2500,2520,1,A stylish and thrilling short film about a precocious teenage detective caught in a sinister conspiracy
DriveBetter - the smart driving coach for your teen driver.,Orange Robot,US,Gadgets,60,10000,5899,0,6 teenagers die in car crashes every day in the US.We are working to encourage safer driving habits one driver at a time.
PowerMAG - $7 - 3amp Magnetic Cable,PowerMAG - The Ultimate Mobile Charger,SG,Hardware,571,10000,18948,1,"The world's first Magnetic cable for iPhone & Android. Supports 3.0Amp charging, sync & auto disconnects"
Introducing Manila Bowl SF by Chef Aris,Jim Harvey Sy,US,Restaurants,19,1000,1355,1,NYC restaurant veterans Aris Tuazon and Jim Harvey Sy introduce their take on Filipino cuisine to SOMA Pilipinas in SF
Elternabend,Ethan Sebastian,CH,Film & Video,1,16000,1,0,"Based upon real life events, this film highlights the two parents, who risk prison for not attending a PTA meeting in Switzerland."
7 Days of Garbage & Daily Bread,Gregg Segal,US,Photography,94,12000,13082,1,Portraits reveal the food we eat and garbage we create while telling a story about our health and the health of our planet.
"Tell it Well Book - Discover, Own and Share Your Story Well",Jennifer Spoelma,US,Nonfiction,148,14000,14305,1,"Discover what your story is. Use it to find common ground and engage in conversations about faith with grace, confidence, authenticity."
The Line Leader,Caroline Jones & Dr. Matthew Sowcik,US,Children's Books,8,8500,276,0,The Line Leader is a childrens book that serves as a resource for parents and teachers to introduce leadership to young children.
Holovect: Holographic Vector Display,Jaime Ruiz-Avila,US,Technology,240,45000,70742,1,World's first desktop holographic display.  It draws objects in air with light.
Abused Amusement a Collection of Poetry,Apachi Sundari,US,Poetry,1,10000,2,0,Escaping depths of spiritual guidance the wave of perpetual reason aligns contemporary flow of existence with a poet writing rhymes
Fresh Start,Fresh Start,US,Farms,0,20000,0,0,Renewing \\
Brownie Batter Startup,Taylor M Henderson,US,Restaurants,1,1000,1,0,"The Most moist,sweet desserts that an oven has ever created, along with some caramel and chocolate for added taste !"
The Canteen on Portland,Rene Lavalle,CA,Restaurants,484,30000,65664,1,We're relaunching The Canteen on Portland St! A true neighbourhood restaurant in Downtown Dartmouth. Help us make this dream a reality!
airRED - the infrared cabin with invisible walls,Andreas Paul Wllner,DE,Technology,25,25000,25145,1,The airRED is a pioneering wellness device allowing everyone to get to know the true promise of infrared and its health-benefits.
The Big Box of Magic...This may just save your life!,The Big Box Of Magic,US,Comedy,149,13000,14026,1,This Dad is 100% off his rocker and I can't stop doing his magic tricks!  Who let him make this?  I need a hug.
Handmade leather bracelet and individual engraving,Memory bracelet,US,Design,32,1500,1052,0,"Bracelet made so as to last you a life time.Natural leather, individual etching, gift package, durability, style"
My Keeper: Connected devices for your daily security,My Keeper,FR,Technology,133,20000,20178,1,"My Keeper is an aid and security community that makes everyday life safer and easier, through a free mobile app and connected devices."
HYPERNOVA | 2017 Collaboration,Rainbow Fletcher,US,Performances,38,4000,4500,1,"Bitter Suites: A performance experience featuring collaboration between stylistically charged dance, music and design."
Robert Johnson Recording Accolade at Gunter Hotel,Joshua Knight,US,Blues,1,2100,65,0,"3 years later, the wait is over! Josh Knight will record Robert Johnson's original songs in the same room Johnson recorded in 1936!"
Deep Madness,Diemension Games,US,Tabletop Games,9566,100000,1438293,1,"A co-operative game for 1-6 players with amazingly detailed miniatures, depicting a sci-fi horror world inspired by Lovecraft's work."
I want to make a photo book!,Stephen de Jesus Frias,US,Photobooks,18,500,665,1,all i want to do is take some dope photos & make a book
EP creation and promotion,Jillian Steele,US,Country & Folk,7,3000,159,0,Singer/songwriter who has her second EP 85% finished... want to get it done and start sharing..
