naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
Kid Stew is a macabre book by Tallahassee Grimstone,Tallahassee Grimstone,US,Young Adult,4,5000,82,0,Kid Stew is an illustrated macabre book that is perfect for gloomy teens and adults that require a grim bedtime story.
The Dragon Within Us,Jian Yang & Diane Shilling,US,Young Adult,4,25000,33,0,"The Dragon Within Us blends Eastern and Western cultures create an innovative Super Hero,a Chinese Cultural background Harry Potte"
The Pen Rest - PLUS Version - Uniquely stackable Pen Stand,David Frieslander,GB,Product Design,29,1000,2247,1,"Worlds FIRST Vertical Stackable and Solid modular pen holder is back! The Ultimate place for your Pens, Your Friends Will Envy You!"
Ordinary Time - Good News New Ordinary Time album!,Ordinary Time,CA,Country & Folk,74,2000,2397,1,"Ordinary Time has completed their 5th album, and want to make it available for you by this christmas!"
Individualized Encryption to Reclaim Your Privacy,Tom Reid,US,Software,39,30000,31705,1,"The patented SEED Protocol delivers a quantum leap in security, portability and control of your confidential information."
Podcast for BJ on the weekends,Bobby Burns,US,Audio,0,2500,0,0,"Starting a Podcast called BJ on the weekends, just having fun and talking trash."
Interest,Jeffrey Morera Jaramillo,CA,Apps,0,15000,0,0,"Interest, the fastest way to connect yourself with the information that you need.. from those directly with knowledge and experience."
AJEDREZ Y MATEMATICAS,Pablo Castrillo,ES,Mobile Games,0,1500,0,0,"El ajedrez, las matemticas y la informtica se mezclan con este proyecto multiplataforma para Android, iPhone y Windows"
Racial Reconciliation Music Project,Sanchez Fair,US,Faith,8,5000,262,0,"The goal of the Racial Reconciliation Music Project is to continue to promote racial reconciliation in our churches, city, and nation."
The Folio Digital Quarterly #1,Scott Taylor,US,Tabletop Games,110,1000,1592,1,A fully 1E & 5E compatible adventure and gazetteer set in the steampunk Gun Kingdoms timeline of the Nameless Realms.
EP Recording Project,Adrianne & Mike's EP Project,CA,World Music,31,2000,2180,1,"This Award Winning Celtic/Folk duo from Cape Breton, are looking for your help in completing their sophomore release, an original EP!"
New Kayak Sail Kite Controller,Dan Tracy,US,Product Design,4,200,469,1,Kite Boating Adventure
\\,Kevin webb,US,Country & Folk,1,4500,5,0,Creating my first music video to mmy original song \\
Leglite,Simon Moore,IE,Product Design,6,5000,353,0,"These garments are guaranteed to light you up.Leglites are a new invention designed with cyclists, runners and walkers in mind."
Keepers Brew - New Album/Experience. Psy/Prog/Space Rock.,Greyum May,GB,Electronic Music,79,2500,2749,1,"New Keepers Brew Album!   Plus immersive psychedelic experience, re:mixes, merch and more.  :)For fans of all things Psychedelic."
Dream Big Grind Harder Project,Hevewae Bates,US,Hip-Hop,0,650,0,0,Trying to make my wordsmith visual so u can see it life...
Conran - The dinky Raccoon,Nifty Productions,CH,Video Games,7,9800,747,0,"A 3rd Person Wave Survival Shooter featuring a blue Raccoon Gladiator fighting drones in a futuristic, clean and stylized world."
Heroes of Astragar,Brandon Primm,US,Mobile Games,5,300000,62,0,Heroes of Astragar is a new take on Virtual Reality games. It's going to be D&D 3.5 edition mobile game based off of Pokemon Go.
Solomonic Demons Malevolent Destiny Album,Erick Carrillo,US,Metal,1,3100,20,0,Kickstarter for distribution and pressing of Vinyl of the upcoming album of Solomonic Demons Malevolent  Destiny
"Roam Sticks: Insanely Tasty, Non-GMO, Pasture-Raised Pork",John and Holly Arbuckle,US,Food,423,10000,28067,1,"Paleo-friendly, hickory smoked, and bacon-licious, these sticks are helping move pigs out of confinement and back onto pasture."
DRAWSOME CARDS: Color and Share 20 Unique Greeting Cards,Panini Press,US,Illustration,7,7500,406,0,If Coloring Books And Greeting Cards Had a Baby: A premium gift set of 20 playfully illustrated greeting cards. Colored by you.
Blockprinting Workshop,MATTER Prints,SG,Printing,23,5000,5100,1,"MATTER is bringing our 4th generation artisan partner, Khushiram, down to Singapore to conduct blockprinting workshops in November."
Polka Restaurant 2nd Location,Michal Budny,US,Restaurants,7,40000,1311,0,"From Food,through tummy, to LoveAfter 21 years of great service we would like to open second location to serve Our delicious Food."
Real Fantasy GPS mobile game,Real Fantasy,US,Mobile Games,17,10000,1447,0,Our groundbreaking new GPS mobile game is now available. Players are loving it and we want to add some cool new features!
\\,Flicien Bouchot,FR,Latin,100,1,2297,1,Pr-commandez le nouvel album de Bigre! : \\
Kirk Lindo's SUPER FANTASY GIRLS V8 Sketch Book,PerForce Publishing,US,Comics,59,99,3195,1,"A new collection of Super-heroine Drawings, Sketches and Commissions by the creator of the Vampress Luxura & Vamperotica!"
The Fish Wish,Aaron \\,US,Children's Books,16,3260,189,0,"From ponies to poles...dad's adventure with daughters just went to the lake, became a children's book, and even teaches fishing to kids"
